LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID46693,46693,151,388.0,107.25761203117007,235.4267433839842,0.0,2189.952798843384,73,4.03230892017656,1,,3346.8545454545456,3229.0,2180.0,5455.0,1288539.0,637.0931787197319,-0.32774804538707825,-5.122381443121528,-0.002895151551719527,0.15109473922674027,4.883119128552846,3.331606940244539,2.796785448827577,1.4656948482027194,51.08077359038509,39.75853598086548,0.4060752885857868,0.7382550335570484,5.562905100170449
ID47557,47557,151,408.0,106.94444037179449,221.66597492979255,0.0,2399.948272705078,80,4.158630982825795,1,,3352.085574572127,3186.0,2086.0,5313.0,1371003.0,639.5259733585656,-0.2978515812004412,-4.446905425415888,-0.08297804543367891,0.12834706440576774,5.523668369492437,3.223648803465121,2.638453546565815,1.7134832936996767,54.33136827340962,40.01981910841427,0.42629502454801926,0.7385031559963944,5.429374515237822
ID46566,46566,151,403.0,107.31155247445278,237.42558761948598,0.0,2099.9547386169434,70,4.133164540142751,1,,3368.970297029703,3199.0,2093.0,5747.0,1361064.0,674.7073690534278,-0.32165654138567595,-4.73537602131814,0.01812775487209086,0.10969897595616565,5.187933050124961,3.1827629319837074,-0.16189055754174786,1.630009259562257,53.66798160340443,39.0845047695899,0.44148494593085746,0.7682811016144352,5.335154275847828
ID48070,48070,151,182.0,103.81262369307737,212.59800923496977,0.0,2579.944393157959,86,2.7800267618424073,1,,3504.382513661202,3353.0,2177.0,5773.0,641302.0,784.7959951339343,-0.5171881042345533,-9.566548715153608,-0.013428218535385944,-0.05065670770817859,3.567209962701555,2.2420592235328214,0.9229628935614822,1.5910418089138112,24.279952122183072,21.658841912041886,0.6504100260233535,0.9360613810741687,4.395530707187597
ID47368,47368,151,363.0,106.81321479664649,230.87596228668116,0.0,2249.9515056610107,75,3.9422788596559233,1,,3448.5504087193463,3348.0,2193.0,5224.0,1265618.0,669.5255575247251,-0.3457585000727376,-5.444201503125979,0.11653222972670717,0.18614782752264772,4.977573532241879,3.305470135782716,-0.4086441259256755,1.5058594777057994,48.82525891236811,38.82107552760239,0.4071170514706654,0.7658688865764838,5.5557831433328895
ID47535,47535,151,404.0,106.75663411311577,219.94674625715803,0.0,2429.9476261138916,81,4.117809077001796,1,,3374.9849624060153,3268.0,2266.0,5050.0,1346619.0,568.3653451807634,-0.3278614594896093,-5.793030527264555,-0.04765345546809213,0.12123423601867789,5.210787090888721,3.2261288758896605,2.5972428308712847,1.615182558214373,53.269949601401535,38.39071923522607,0.45419218033800196,0.7554092191909695,5.2599922658851295
ID47855,47855,151,379.0,106.3486303541897,216.25152790490938,0.0,2489.9463329315186,83,4.003403107203643,1,,3422.2277486910994,3294.0,2134.0,5486.0,1307291.0,681.0124568369484,-0.34063966029803977,-5.192257689549659,0.06553767560272679,0.14734406120822888,5.316059085725284,3.038274574260324,2.249685201359495,1.7496967294404233,50.351048253379496,37.45520082151749,0.45101825532009926,0.7881619937694708,5.2784677403994955
ID47698,47698,151,418.0,106.5912536245531,217.87448513633134,0.0,2459.946979522705,82,4.1990560496376785,1,,3342.4285714285716,3215.0,2031.0,6081.0,1403820.0,648.5264789745506,-0.3382259517155534,-5.26819222779209,-0.025457349886360524,0.09696400175789799,5.3232994382539705,3.24244150591565,2.3858441200669582,1.641756506182737,55.39278694541743,38.20839446691713,0.4768101617213966,0.8186274509803912,5.1337200331437405
ID46774,46774,151,392.0,107.47160486426122,236.33454586812852,0.0,2159.9534454345703,72,4.047988728861595,1,,3366.291989664083,3262.0,2192.0,5599.0,1302755.0,611.3001137157859,-0.33668634287475485,-5.590283899614366,0.25849727737775385,-0.02378224570306944,4.962675981940524,3.4055379931329166,-0.32567448165090446,1.4572370039469513,51.47880559238801,38.6976345968402,0.4319858157275279,0.7622789783889985,5.393493858273291
ID46972,46972,151,395.0,107.00600769900464,227.21699140030387,0.0,2279.950859069824,76,4.107540210450569,1,,3334.690954773869,3162.0,2129.0,5369.0,1327207.0,664.9232356357047,-0.33009044132488585,-4.942319887568418,-0.08481342950983695,0.014661805465387041,4.972775452921306,3.3451574205878,2.2568067748941374,1.4865594732003693,53.00459493339944,39.78637537082421,0.4207795574203608,0.7609523809523805,5.4648420712302
